PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Ben Roethlisberger,QB,PIT,@NE,-110,49.00,5.50,21.75,7600,19.2,2.5,9.69
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,8100,17.3,2.1,9.63
Donte Moncrief,WR,PIT,@NE,-110,49.00,5.50,21.75,5400,9.1,1.7,9.47
Tom Brady,QB,NE,PIT,-110,49.00,-5.50,27.25,7300,19.0,2.6,9.41
Vance McDonald,TE,PIT,@NE,-110,49.00,5.50,21.75,5600,9.0,1.6,9.35
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,5900,9.3,1.6,9.33
Evan Engram,TE,NYG,@DAL,-115,45.50,7.50,19.00,6400,10.3,1.6,9.30
Sterling Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,6000,10.6,1.8,9.13
Dante Pettis,WR,SF,@TB,-110,51.00,1.00,25.00,6500,9.4,1.5,8.91
James White,RB,NE,PIT,-110,49.00,-5.50,27.25,6300,11.9,1.9,8.88
Tre'Quan Smith,WR,NO,HOU,-105,52.50,-7.00,29.75,5200,7.7,1.5,8.64
Kenny Golladay,WR,DET,@ARI,-115,46.50,-2.50,24.50,6900,12.6,1.8,8.53
Jimmy Garoppolo,QB,SF,@TB,-110,51.00,1.00,25.00,7200,19.4,2.7,8.44
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,5800,7.7,1.3,8.41
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,7000,14.7,2.1,8.39
Marquise Goodwin,WR,SF,@TB,-110,51.00,1.00,25.00,5400,8.4,1.6,7.54
Deebo Samuel,WR,SF,@TB,-110,51.00,1.00,25.00,5200,8.3,1.6,7.54
Peyton Barber,RB,TB,SF,-110,51.00,-1.00,26.00,5500,10.3,1.9,6.90
