"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"John Ursua","SEA","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Cedrick Wilson","DAL","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Gehrig Dieter","KC","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Devin Smith","DAL","0.2","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Zach Pascal","IND","0.3","2.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Nick Williams","SF","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Mike Thomas","LAR","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Richie James","SF","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Khadarel Hodge","CLE","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Brittan Golden","NYG","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Josh Bellamy","NYJ","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.2"
"Braxton Berrios","NYJ","0.1","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Stanley Morgan Jr.","CIN","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Darrius Shepherd","GB","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Jason Moore","LAC","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Allen Lazard","GB","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"DJ Montgomery","CLE","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Greg Dortch","NYJ","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Deonte Harris","NO","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Cody Thompson","KC","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"C.J. Board","JAC","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Jazz Ferguson","SEA","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Penny Hart","IND","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Lil'Jordan Humphrey","NO","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Greg Ward","PHI","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Olamide Zaccheaus","ATL","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Jonathan Duhart","DET","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Robert Davis","WAS","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Antoine Wesley","BAL","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Marcus Johnson","IND","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Matt Slater","NE","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Travis Fulgham","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcus Green","PHI","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
