"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Russell Gage","ATL","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Damion Ratley","CLE","0.7","9.3","0.0","0.0","0.1","0.0","0.0","1.4"
"Dwayne Harris","OAK","0.7","7.4","0.0","0.2","1.2","0.0","0.0","1.3"
"Josh Bellamy","NYJ","0.5","7.7","0.0","0.0","0.1","0.0","0.0","1.3"
"Trent Sherfield","ARI","0.5","7.1","0.0","0.0","0.1","0.0","0.0","1.2"
"Juwann Winfree","DEN","0.5","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Mack Hollins","PHI","0.4","7.3","0.0","0.0","0.3","0.0","0.0","1.0"
"Jaleel Scott","BAL","0.6","7.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Travis Fulgham","DET","0.7","6.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Derrick Willies","CLE","0.5","5.6","0.0","0.0","0.0","0.0","0.0","0.9"
"Darius Jennings","TEN","0.5","6.1","0.0","0.0","0.1","0.0","0.0","0.9"
"Deonte Harris","NO","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Trevor Davis","GB","0.5","4.7","0.0","0.0","0.0","0.0","0.0","0.8"
"Malik Turner","SEA","0.4","5.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Jehu Chesson","WAS","0.5","3.8","0.0","0.0","0.0","0.0","0.0","0.7"
"Zach Pascal","IND","0.5","4.4","0.0","0.0","0.1","0.0","0.0","0.7"
"Geremy Davis","LAC","0.3","4.3","0.0","0.0","0.0","0.0","0.0","0.7"
"Diontae Spencer","DEN","0.3","5.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Damiere Byrd","ARI","0.2","4.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Brandon Powell","ATL","0.4","3.4","0.0","0.0","0.0","0.0","0.0","0.6"
"Richie James","SF","0.2","4.8","0.0","0.0","0.1","0.0","0.0","0.6"
"Scott Miller","TB","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Ray-Ray McCloud","CAR","0.3","3.4","0.0","0.0","0.0","0.0","0.0","0.6"
"Byron Pringle","KC","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Braxton Berrios","NYJ","0.2","3.0","0.0","0.1","1.0","0.0","0.0","0.5"
"Javon Wims","CHI","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaac Whitney","HOU","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.5"
"Allen Lazard","GB","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaiah Ford","MIA","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Devin Smith","DAL","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.4"
"JoJo Natson","LAR","0.3","1.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Pharoh Cooper","CIN","0.2","2.1","0.0","0.0","0.3","0.0","0.0","0.3"
"Steven Sims","WAS","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Gehrig Dieter","KC","0.2","1.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Gunner Olszewski","NE","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Brittan Golden","NYG","0.2","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Mike Thomas","LAR","0.2","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Khadarel Hodge","CLE","0.2","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Marcus Johnson","IND","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Matt Slater","NE","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Chad Williams","IND","0.0","3.1","0.0","0.0","0.1","0.0","0.0","0.0"
"N'Keal Harry","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
