PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Tyler Higbee,TE,LAR,@CAR,-110,50.00,-1.50,25.75,2600,4.1,1.6,0.80
Demarcus Robinson,WR,KC,@JAX,-120,51.50,-3.00,27.25,3200,6.2,1.9,0.79
James O'Shaughnessy,TE,JAX,KC,100,51.50,3.00,24.25,2500,3.1,1.2,0.79
Adrian Peterson,RB,WAS,@PHI,-110,45.00,10.00,17.50,3700,4.1,1.1,0.78
Jamaal Williams,RB,GB,@CHI,-105,46.50,3.00,21.75,3300,7.2,2.2,0.77
Hayden Hurst,TE,BAL,@MIA,-110,38.50,-6.50,22.50,2700,5.8,2.1,0.76
T.J. Yeldon,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3300,5.8,1.7,0.74
Kyle Juszczyk,RB,SF,@TB,-110,51.00,1.00,25.00,3000,3.6,1.2,0.74
Charles Clay,TE,ARI,DET,-105,46.50,2.50,22.00,2700,4.7,1.7,0.71
Virgil Green,TE,LAC,IND,-110,44.50,-6.50,25.50,2500,3.4,1.4,0.71
C.J. Prosise,RB,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.2,0.7,0.69
LeSean McCoy,RB,KC,@JAX,-120,51.50,-3.00,27.25,4600,7.4,1.6,0.68
Mecole Hardman,WR,KC,@JAX,-120,51.50,-3.00,27.25,4100,6.4,1.6,0.68
Ryan Griffin,TE,NYJ,BUF,-115,40.50,-2.50,21.50,2700,5.3,2.0,0.68
Taywan Taylor,WR,CLE,TEN,-110,45.50,-5.50,25.50,3100,4.9,1.6,0.67
Jakobi Meyers,WR,NE,PIT,-110,49.00,-5.50,27.25,3200,4.5,1.4,0.66
Keith Kirkwood,WR,NO,HOU,-105,52.50,-7.00,29.75,3200,3.4,1.1,0.66
Tim Patrick,WR,DEN,@OAK,-110,43.00,-2.50,22.75,3200,5.8,1.8,0.65
Cole Beasley,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3600,5.8,1.6,0.65
Dawson Knox,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2500,3.7,1.5,0.65
Ryquell Armstead,RB,JAX,KC,100,51.50,3.00,24.25,3000,3.3,1.1,0.65
Rhett Ellison,TE,NYG,@DAL,-115,45.50,7.50,19.00,2500,3.0,1.2,0.65
Alexander Mattison,RB,MIN,ATL,-110,47.50,-4.00,25.75,3800,3.6,0.9,0.63
Demetrius Harris,TE,CLE,TEN,-110,45.50,-5.50,25.50,2500,3.1,1.2,0.63
Willie Snead,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4000,7.8,2.0,0.62
Malcolm Brown,RB,LAR,@CAR,-110,50.00,-1.50,25.75,3800,5.5,1.4,0.62
Chris Hogan,WR,CAR,LAR,-110,50.00,1.50,24.25,3300,4.9,1.5,0.62
Darren Sproles,RB,PHI,WAS,-110,45.00,-10.00,27.50,3100,3.5,1.1,0.62
Cordarrelle Patterson,WR,CHI,GB,-115,46.50,-3.00,24.75,3600,5.2,1.4,0.60
John Ursua,WR,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.7,0.9,0.60
Ryan Fitzpatrick,QB,MIA,BAL,-110,38.50,6.50,16.00,4900,16.2,3.3,0.57
Darren Fells,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,1.5,0.6,0.57
Ty Montgomery,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3200,7.5,2.3,0.56
Diontae Johnson,WR,PIT,@NE,-110,49.00,5.50,21.75,3000,3.4,1.1,0.56
Miles Boykin,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,6.6,2.2,0.55
Jeff Heuerman,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2800,3.7,1.3,0.55
Gary Jennings,WR,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.5,0.8,0.54
J.J. Nelson,WR,OAK,DEN,-110,43.00,2.50,20.25,3200,5.8,1.8,0.53
Trent Sherfield,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.5,1.8,0.52
Mo Alie-Cox,TE,IND,@LAC,-110,44.50,6.50,19.00,2500,2.6,1.0,0.52
Dalton Schultz,TE,DAL,NYG,-105,45.50,-7.50,26.50,2500,1.7,0.7,0.52
Xavier Grimble,TE,PIT,@NE,-110,49.00,5.50,21.75,2700,1.7,0.6,0.52
Jake Kumerow,WR,GB,@CHI,-105,46.50,3.00,21.75,3100,5.3,1.7,0.51
Tyler Conklin,TE,MIN,ATL,-110,47.50,-4.00,25.75,2500,1.6,0.6,0.50
Levine Toilolo,TE,SF,@TB,-110,51.00,1.00,25.00,2500,1.6,0.6,0.50
Josh Oliver,TE,JAX,KC,100,51.50,3.00,24.25,2700,1.6,0.6,0.48
Jeremy Sprinkle,TE,WAS,@PHI,-110,45.00,10.00,17.50,2500,1.4,0.6,0.48
Dontrell Hilliard,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,4.1,1.4,0.46
Tajae Sharpe,WR,TEN,@CLE,-110,45.50,5.50,20.00,3000,2.9,1.0,0.45
Mike Gesicki,TE,MIA,BAL,-110,38.50,6.50,16.00,3000,6.3,2.1,0.44
KeeSean Johnson,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.1,1.7,0.44
Maxx Williams,TE,ARI,DET,-105,46.50,2.50,22.00,2500,3.2,1.3,0.44
Case Keenum,QB,WAS,@PHI,-110,45.00,10.00,17.50,4900,9.2,1.9,0.42
Robert Tonyan,TE,GB,@CHI,-105,46.50,3.00,21.75,2500,2.9,1.2,0.42
Drew Sample,TE,CIN,@SEA,-110,44.00,9.50,17.25,2500,1.4,0.6,0.42
DeVante Parker,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,9.0,2.3,0.41
Ryan Izzo,TE,NE,PIT,-110,49.00,-5.50,27.25,2500,1.6,0.6,0.41
Jaron Brown,WR,SEA,CIN,-110,44.00,-9.50,26.75,3100,1.9,0.6,0.40
Raheem Mostert,RB,SF,@TB,-110,51.00,1.00,25.00,3700,2.2,0.6,0.39
DeAndre Carter,WR,HOU,@NO,-115,52.50,7.00,22.75,3300,2.2,0.6,0.39
Kaden Smith,TE,SF,@TB,-110,51.00,1.00,25.00,2500,0.9,0.4,0.39
