Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
92,1587318652,fundypete,0,158.52,DST Seahawks  FLEX Mark Ingram II TE Kyle Rudolph WR Sterling Shepard WR Adam Thielen WR Tyler Boyd RB Nick Chubb RB Christian McCaffrey QB Kyler Murray,,Tony Pollard,RB,2.18%,2.4
93,1586780001,gwalt123,0,158.1,DST Jets  FLEX Zach Ertz RB Le'Veon Bell WR Jarvis Landry WR Sammy Watkins TE Eric Ebron WR Stefon Diggs QB Baker Mayfield RB Chris Carson,,Mohamed Sanu,WR,1.75%,10.7
94,1589442325,ShinjukuAce,0,157.84,DST Ravens  TE Delanie Walker QB Russell Wilson RB Le'Veon Bell WR Adam Thielen FLEX Leonard Fournette RB Dalvin Cook WR Dede Westbrook WR DJ Moore,,Adrian Peterson,RB,1.75%,0
95,1591816564,matthickey21,0,157.36,DST Seahawks  RB Mark Ingram II WR Odell Beckham Jr. WR Tyler Lockett TE Hunter Henry WR Chris Godwin QB Lamar Jackson FLEX Kerryon Johnson RB Chris Carson,,T.Y. Hilton,WR,1.75%,28.7
96,1591417210,timothymcmillian,0,156.92,DST Cowboys  WR Larry Fitzgerald TE Travis Kelce RB Le'Veon Bell FLEX Nelson Agholor WR Tyreek Hill RB Dalvin Cook QB Kyler Murray WR Michael Gallup,,Jared Goff,QB,1.75%,10.44
97,1580461476,Djavest,0,156.74,DST Ravens  TE Delanie Walker QB Russell Wilson WR Amari Cooper WR Adam Thielen FLEX Hunter Henry RB Leonard Fournette RB Dalvin Cook WR Chris Godwin,,Damien Williams,RB,1.75%,18.5
98,1587358884,Roman2015,0,156.7,DST Ravens  TE Delanie Walker FLEX Mike Evans WR Tyler Lockett QB Jacoby Brissett WR Brandin Cooks WR Kenny Golladay RB Austin Ekeler RB Dalvin Cook,,Matthew Stafford,QB,1.75%,31.6
99,1591615948,njelgersma,0,156.52,DST Seahawks  FLEX Mark Ingram II WR Tyler Lockett QB Carson Wentz WR Cooper Kupp TE Dallas Goedert RB Dalvin Cook WR Chris Godwin RB Saquon Barkley,,Marquise Goodwin,WR,1.75%,1.7
100,1585206586,madhatter51,0,156.22,DST 49ers  WR Odell Beckham Jr. TE Hunter Henry WR Tyreek Hill RB Dalvin Cook QB Patrick Mahomes WR Dede Westbrook FLEX Tony Pollard RB Chris Carson,,Albert Wilson,WR,1.31%,3.4
101,1590946075,Zinger83,0,155.46,DST Ravens  WR Larry Fitzgerald QB Jameis Winston WR Adam Thielen TE Hunter Henry FLEX Leonard Fournette RB Dalvin Cook WR Chris Godwin RB Chris Carson,,Danny Amendola,WR,1.31%,26.4
102,1591957289,AntReacts,0,155.44,DST Ravens  QB Russell Wilson WR Tyler Lockett WR Adam Thielen TE Evan Engram FLEX Austin Ekeler WR Curtis Samuel RB Leonard Fournette RB Nick Chubb,,Bengals ,DST,1.31%,6
103,1590952982,seabrin,0,154.76,DST Colts  TE Delanie Walker WR Marquise Goodwin WR Tyler Lockett WR Adam Thielen RB Leonard Fournette RB Dalvin Cook QB Lamar Jackson FLEX Saquon Barkley,,Giants ,DST,1.31%,-4
104,1589619203,cmclain1,0,154.46,DST Jets  TE Travis Kelce QB Jameis Winston FLEX Austin Ekeler WR Curtis Samuel RB Nick Chubb RB Dalvin Cook WR Chris Godwin WR Dede Westbrook,,Willie Snead IV,WR,1.31%,12.1
105,1591335550,kwilkin3,0,154.42,DST Cowboys  RB Mark Ingram II WR Robert Woods QB Carson Wentz WR Adam Thielen TE Hunter Henry FLEX Nick Chubb RB Dalvin Cook WR Chris Godwin,,Nelson Agholor,WR,1.31%,3.1
106,1591779092,Suvakane911,0,154.02,DST Panthers  WR Julio Jones RB Le'Veon Bell WR Odell Beckham Jr. WR Sammy Watkins TE Eric Ebron RB Derrius Guice FLEX DJ Moore QB Kyler Murray,,O.J. Howard,TE,1.31%,6.2
107,1585806458,AlvinAndTheChipmunks,0,153.92,DST 49ers  WR Corey Davis TE Hunter Henry RB Dalvin Cook WR Chris Godwin QB Patrick Mahomes WR Dede Westbrook FLEX Kerryon Johnson RB Saquon Barkley,,Adam Humphries,WR,1.31%,1.5
108,1588688164,benjaminCooper,0,153.82,DST Cowboys  TE Jason Witten WR Julio Jones WR John Brown FLEX Ezekiel Elliott RB Dalvin Cook RB Justin Jackson QB Patrick Mahomes WR Dede Westbrook,,Corey Davis,WR,1.31%,0
