"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","SF@TB","TB","SF","","","","",""
"37435-43956","QB","David","David Fales","Fales","0","0","6000","DET@ARI","DET","ARI","","","","",""
"37435-56286","QB","Trace","Trace McSorley","McSorley","0","0","6000","BAL@MIA","BAL","MIA","","","","",""
"37435-41966","QB","Luke","Luke Falk","Falk","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"37435-60735","RB","Derrius","Derrius Guice","Guice","0","0","5900","WAS@PHI","WAS","PHI","","","","",""
"37435-52613","WR","Curtis","Curtis Samuel","Samuel","9.023077157827524","13","5900","LAR@CAR","CAR","LAR","","","","",""
"37435-60910","WR","Dede","Dede Westbrook","Westbrook","9.15625","16","5900","KC@JAC","JAC","KC","","","","",""
"37435-57840","RB","Rashaad","Rashaad Penny","Penny","5.06923088660607","13","5900","CIN@SEA","SEA","CIN","","","","",""
"37435-25272","TE","Eric","Eric Ebron","Ebron","11.824999809265137","16","5900","IND@LAC","IND","LAC","","","","",""
"37435-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","9.448749542236328","16","5900","DET@ARI","ARI","DET","","","","",""
"37435-55165","RB","Justin","Justin Jackson","Jackson","6.699999809265137","8","5900","IND@LAC","LAC","IND","","","","",""
"37435-55335","TE","David","David Njoku","Njoku","7.726666768391927","15","5800","TEN@CLE","CLE","TEN","","","","",""
"37435-42142","RB","Jordan","Jordan Howard","Howard","10.625","16","5800","WAS@PHI","PHI","WAS","","","","",""
"37435-6779","RB","LeSean","LeSean McCoy","McCoy","7.871428353445871","14","5800","KC@JAC","KC","JAC","","","","",""
"37435-42107","WR","Robert","Robert Foster","Foster","7.781818043101918","11","5700","BUF@NYJ","BUF","NYJ","","","","",""
"37435-52371","RB","Kalen","Kalen Ballage","Ballage","3.01818188753995","11","5700","BAL@MIA","MIA","BAL","","","","",""
